"avg_sal_under26","avg_sal_man_under26","avg_sal_woman_under26","sal_diff_gender_under26","avg_sal_2650","avg_sal_man_2650","avg_sal_woman_2650","sal_diff_gender_2650","avg_sal_over50","avg_sal_man_over50","avg_sal_woman_over50","sal_diff_gender_over50","nom_département"
11.8000000000000000,12.2000000000000000,11.4000000000000000,0.80,21.7000000000000000,23.5000000000000000,19.5000000000000000,4.00,28.3000000000000000,33.8000000000000000,21.8000000000000000,12.00,Paris
11.0131578947368421,11.3578947368421053,10.6605263157894737,0.70,21.2947368421052632,23.0815789473684211,19.0868421052631579,3.99,26.8263157894736842,30.9526315789473684,21.3447368421052632,9.61,Hauts-de-Seine
10.3504854368932039,10.6728155339805825,9.9669902912621359,0.71,19.9097087378640777,21.9679611650485437,16.9466019417475728,5.02,25.6339805825242718,29.6640776699029126,18.8116504854368932,10.85,Yvelines
10.2884615384615385,10.5980769230769231,9.9461538461538462,0.65,16.4307692307692308,17.3750000000000000,15.1596153846153846,2.22,19.8596153846153846,21.8615384615384615,17.0461538461538462,4.82,Val-de-Marne
10.1750000000000000,10.4850000000000000,9.7770000000000000,0.71,16.4580000000000000,17.5710000000000000,14.8910000000000000,2.68,20.4710000000000000,22.6860000000000000,17.0030000000000000,5.68,Essonne
10.0597560975609756,10.2707317073170732,9.7902439024390244,0.48,15.9792682926829268,16.9853658536585366,14.6000000000000000,2.39,19.4756097560975610,21.4134146341463415,16.6109756097560976,4.80,Val-d'Oise
9.9713235294117647,10.2139705882352941,9.6625000000000000,0.55,15.3455882352941176,16.4669117647058824,13.7742647058823529,2.69,18.5529411764705882,20.4786764705882353,15.5154411764705882,4.96,Seine-et-Marne
9.9688524590163934,10.4172131147540984,9.3418032786885246,1.08,16.0319672131147541,17.5950819672131148,13.9229508196721311,3.67,19.0581967213114754,21.8786885245901639,14.9081967213114754,6.97,Rhône
9.8342857142857143,10.2595918367346939,9.1995918367346939,1.06,13.3481632653061224,14.2563265306122449,11.8555102040816327,2.40,15.5440816326530612,17.0436734693877551,12.8387755102040816,4.20,Nord
9.8333333333333333,10.2133333333333333,9.2222222222222222,0.99,13.9177777777777778,15.0755555555555556,12.1355555555555556,2.94,16.5866666666666667,18.6600000000000000,13.4088888888888889,5.25,Savoie
9.8243902439024390,10.0073170731707317,9.6048780487804878,0.40,13.6317073170731707,14.0121951219512195,13.0853658536585366,0.93,15.6975609756097561,16.4780487804878049,14.5780487804878049,1.90,Seine-Saint-Denis
9.8091954022988506,10.1793103448275862,9.3206896551724138,0.86,13.9045977011494253,15.1137931034482759,12.2816091954022989,2.83,15.9563218390804598,18.2091954022988506,13.0482758620689655,5.16,Haute-Savoie
9.8075471698113208,10.2386792452830189,9.1009433962264151,1.14,14.9801886792452830,16.2575471698113208,13.1235849056603774,3.13,18.1556603773584906,20.4688679245283019,14.4367924528301887,6.03,Haute-Garonne
9.7952941176470588,10.1258823529411765,9.2682352941176471,0.86,13.7317647058823529,14.7447058823529412,12.1000000000000000,2.64,16.2364705882352941,18.0305882352941176,13.1823529411764706,4.85,Seine-Maritime
9.7689655172413793,10.2344827586206897,9.1275862068965517,1.11,13.0413793103448276,13.9241379310344828,11.7310344827586207,2.19,15.0655172413793103,16.6103448275862069,12.7689655172413793,3.84,Marne
9.7417910447761194,10.0208955223880597,9.3194029850746269,0.70,13.5552238805970149,14.4865671641791045,12.2343283582089552,2.25,15.8104477611940299,17.5283582089552239,13.4298507462686567,4.10,Loiret
9.7121212121212121,9.9856060606060606,9.2893939393939394,0.70,14.9242424242424242,16.1363636363636364,13.0159090909090909,3.12,17.5500000000000000,19.6606060606060606,14.0189393939393939,5.64,Isère
9.6810344827586207,10.0327586206896552,9.1258620689655172,0.91,13.1500000000000000,14.1810344827586207,11.5172413793103448,2.66,14.8568965517241379,16.5706896551724138,12.2775862068965517,4.29,Loire
9.6628205128205128,9.9205128205128205,9.3166666666666667,0.60,14.1384615384615385,15.1179487179487179,12.6487179487179487,2.47,16.5179487179487179,18.1987179487179487,13.8512820512820513,4.35,Oise
9.6576271186440678,9.9474576271186441,9.2627118644067797,0.68,14.9033898305084746,16.3254237288135593,13.0305084745762712,3.29,17.9271186440677966,20.5338983050847458,14.3406779661016949,6.19,Alpes-Maritimes
9.6556603773584906,10.0103773584905660,9.1801886792452830,0.83,14.7915094339622642,16.0915094339622642,12.8971698113207547,3.19,17.7226415094339623,20.0396226415094340,14.0226415094339623,6.02,Bouches-du-Rhône
9.6352112676056338,9.9352112676056338,9.2183098591549296,0.72,13.6478873239436620,14.6802816901408451,12.1830985915492958,2.50,15.7197183098591549,17.7352112676056338,12.9140845070422535,4.82,Ain
9.6345454545454545,9.8963636363636364,9.2581818181818182,0.64,13.9145454545454545,15.0490909090909091,12.3145454545454545,2.73,15.9418181818181818,17.9945454545454545,13.0381818181818182,4.96,Indre-et-Loire
9.6125000000000000,9.6375000000000000,9.5375000000000000,0.10,13.9000000000000000,14.1875000000000000,13.4750000000000000,0.71,17.0750000000000000,17.6750000000000000,15.6250000000000000,2.05,Guyane
9.6046511627906977,9.8441860465116279,9.2372093023255814,0.61,12.9581395348837209,13.7348837209302326,11.7511627906976744,1.98,14.9976744186046512,16.4139534883720930,12.7813953488372093,3.63,Eure
9.5972222222222222,9.7694444444444444,9.3388888888888889,0.43,13.4083333333333333,14.2500000000000000,12.1250000000000000,2.13,15.6555555555555556,17.2250000000000000,13.3027777777777778,3.92,Eure-et-Loir
